YEAR,MONTH,NOAA,BoM,APCC,NIWA
2019,1,neutral,El_Nino_alert,El_Nino,El_Nino_watch
2019,2,El_Nino,El_Nino_watch,El_Nino,El_Nino_alert
2019,3,El_Nino,El_Nino_watch,El_Nino,El_Nino
2019,4,El_Nino,El_Nino_alert,El_Nino,El_Nino
2019,5,El_Nino,El_Nino_watch,El_Nino,El_Nino
2019,6,El_Nino,El_Nino_watch,El_Nino,El_Nino
2019,7,El_Nino,neutral,El_Nino,El_Nino
2019,8,neutral,neutral,neutral,neutral
2019,9,neutral,neutral,neutral,neutral
2019,10,neutral,neutral,neutral,neutral
2019,11,neutral,neutral,neutral,neutral
2019,12,neutral,neutral,El_Nino,neutral
2020,1,neutral,neutral,El_Nino,neutral
2020,2,neutral,neutral,El_Nino,neutral
2020,3,neutral,neutral,El_Nino,neutral
2020,4,neutral,neutral,El_Nino,neutral
2020,5,neutral,neutral,neutral,neutral
2020,6,neutral,La_Nina_watch,neutral,La_Nina_watch
2020,7,La_Nina_watch,La_Nina_watch,neutral,La_Nina_watch
2020,8,La_Nina_watch,La_Nina_alert,neutral,La_Nina_alert
2020,9,La_Nina,La_Nina,La_Nina,La_Nina_alert
